"y_on_time_b","on_time_a","planned_dur_a","planned_dur_b","planned_layover_sec","ampeak_a","pmpeak_a","route_pair"
1,1,3240,3000,120,0,1,"21_21"
1,1,3000,3600,420,0,1,"21_4"
1,1,3600,3360,480,0,0,"4_4"
1,1,3360,2220,360,0,0,"4_28"
1,1,2220,1980,780,0,0,"28_28"
1,1,2400,1020,120,0,0,"21_21"
1,1,3180,3300,660,0,0,"88_21"
1,1,3300,3060,120,0,1,"21_21"
1,1,3060,3000,720,0,1,"21_21"
1,1,3300,3060,120,0,1,"21_21"
1,1,3060,2040,420,0,1,"21_29"
1,1,2040,1740,0,0,1,"29_29"
1,1,1740,2280,540,0,1,"29_25"
1,1,2280,2100,240,0,0,"25_25"
1,1,2100,2700,360,0,0,"25_21"
1,1,2700,2700,120,0,0,"21_21"
1,1,2700,1380,660,0,0,"21_19"
1,1,1380,300,0,0,0,"19_19"
0,1,1740,2100,540,1,0,"54_28"
1,1,2520,1560,540,1,0,"25_78"
1,1,1560,1200,120,1,0,"78_78"
1,1,1200,2100,600,1,0,"78_28"
0,1,2100,2220,300,0,0,"28_28"
0,0,2220,2100,780,0,0,"28_28"
1,1,2040,2280,420,1,0,"28_28"
1,1,2280,2400,300,1,0,"28_28"
1,1,2400,2100,480,1,0,"28_28"
1,1,3480,3240,300,0,0,"8_8"
1,1,3240,2400,480,0,0,"8_28"
1,1,2400,2220,720,0,0,"28_28"
1,1,2220,2580,540,0,1,"28_28"
0,1,2580,2220,480,0,1,"28_28"
1,0,2220,2340,600,0,1,"28_28"
0,1,2220,2580,720,0,0,"28_28"
1,0,2580,2220,600,0,1,"28_28"
1,1,2220,3300,600,0,1,"28_88"
1,1,1620,1920,0,1,0,"1_1"
1,1,1920,2100,420,1,0,"1_29"
1,1,2100,2040,0,1,0,"29_29"
0,1,2040,1740,420,1,0,"29_6"
1,0,1740,1860,480,0,0,"6_6"
0,1,1860,1740,360,0,0,"6_54"
1,0,1740,1740,300,0,0,"54_54"
1,1,1740,1860,300,0,0,"54_29"
1,1,1860,1740,0,0,0,"29_29"
1,1,3000,2100,480,1,0,"88_29"
1,1,2100,2040,0,1,0,"29_29"
1,1,2100,2040,0,1,0,"29_29"
1,1,2040,2460,660,1,0,"29_98"
1,0,1320,1560,300,0,0,"30_60"
