"y_on_time_b","on_time_a","planned_dur_a","planned_dur_b","planned_layover_sec","ampeak_a","pmpeak_a","route_pair"
1,0,2460,2640,240,0,1,"32_0_32_1"
1,1,1740,2760,600,0,0,"15_1_21_0"
1,1,2760,3180,240,1,0,"21_0_21_1"
1,1,2640,2760,420,1,0,"21_1_21_0"
1,1,2760,3180,180,1,0,"21_0_21_1"
1,1,3180,3060,600,1,0,"21_1_21_0"
1,1,3060,2760,120,1,0,"21_0_21_1"
1,1,2760,2400,360,0,0,"21_1_14_0"
1,1,2400,2520,300,0,0,"14_0_14_1"
1,1,1740,1920,120,0,0,"32_0_32_1"
1,1,3480,3300,300,0,0,"4_0_21_0"
1,1,3300,3240,120,0,0,"21_0_21_1"
1,1,2700,2340,120,0,1,"421_0_421_1"
1,1,2340,3000,660,0,1,"421_1_21_0"
1,1,3000,3000,120,0,1,"21_0_21_1"
1,1,3000,1800,780,0,1,"21_1_1_0"
1,1,1800,1620,0,0,0,"1_0_1_1"
1,1,1620,2700,480,0,0,"1_1_21_0"
1,1,2700,2700,120,0,0,"21_0_21_1"
1,1,2580,1980,780,0,0,"8_1_8_0"
1,1,1980,1860,600,0,0,"15_1_6_0"
1,1,1860,1860,360,0,0,"6_0_6_1"
1,1,1860,3300,300,0,0,"6_1_21_0"
1,1,3300,3480,120,0,0,"21_0_21_1"
1,1,3480,3480,0,0,0,"21_1_21_1"
1,1,3480,3300,360,0,0,"21_1_21_0"
1,1,3300,3240,120,0,0,"21_0_21_1"
1,1,3240,3240,540,0,1,"21_1_21_0"
1,1,1200,1440,0,0,0,"71_0_71_1"
1,1,1440,1800,540,0,0,"71_1_54_0"
1,1,1800,1740,300,0,0,"54_0_54_1"
