"on_time_a","planned_layover_sec","planned_dur_b","avg_var_b","ampeak_a","pmpeak_a","route_pair"
0,300,1900,-230,0,1,"160_1_60_0"
0,300,1900,-230,0,1,"16_0_16_1"
0,300,1900,-230,0,1,"161_0_161_0"
0,300,1900,-230,0,1,"161_0_161_1"
0,300,1900,-230,0,1,"161_1_123_0"
0,300,1900,-230,0,1,"161_1_16_0"
0,300,1900,-230,0,1,"161_1_161_0"
0,300,1900,-230,0,1,"161_1_185_0"
0,300,1900,-230,0,1,"161_1_20_0"
0,300,1900,-230,0,1,"16_1_123_0"
0,300,1900,-230,0,1,"16_1_125_0"
0,300,1900,-230,0,1,"16_1_13_0"
0,300,1900,-230,0,1,"16_1_14_0"
0,300,1900,-230,0,1,"161_1_410_0"
0,300,1900,-230,0,1,"161_1_417_0"
0,300,1900,-230,0,1,"16_1_15_0"
0,300,1900,-230,0,1,"16_1_16_0"
0,300,1900,-230,0,1,"16_1_161_0"
0,300,1900,-230,0,1,"161_1_73_0"
0,300,1900,-230,0,1,"161_1_82_0"
0,300,1900,-230,0,1,"161_1_88_0"
0,300,1900,-230,0,1,"16_1_19_0"
0,300,1900,-230,0,1,"16_1_20_0"
0,300,1900,-230,0,1,"16_1_21_0"
0,300,1900,-230,0,1,"16_1_25_0"
0,300,1900,-230,0,1,"16_1_410_0"
0,300,1900,-230,0,1,"16_1_428_0"
0,300,1900,-230,0,1,"16_1_506_0"
0,300,1900,-230,0,1,"16_1_71_0"
0,300,1900,-230,0,1,"16_1_73_0"
0,300,1900,-230,0,1,"16_1_75_0"
0,300,1900,-230,0,1,"16_1_80_0"
0,300,1900,-230,0,1,"16_1_81_0"
0,300,1900,-230,0,1,"16_1_84_0"
0,300,1900,-230,0,1,"16_1_9_0"
0,300,1900,-230,0,1,"16_1_99_0"
0,300,1900,-230,0,1,"170_0_170_0"
0,300,1900,-230,0,1,"170_0_170_1"
0,300,1900,-230,0,1,"170_1_170_0"
0,300,1900,-230,0,1,"170_1_170_1"
0,300,1900,-230,0,1,"180_0_180_0"
0,300,1900,-230,0,1,"180_0_180_1"
0,300,1900,-230,0,1,"180_1_13_0"
0,300,1900,-230,0,1,"180_1_180_0"
0,300,1900,-230,0,1,"180_1_180_1"
0,300,1900,-230,0,1,"180_1_19_0"
0,300,1900,-230,0,1,"180_1_3_0"
0,300,1900,-230,0,1,"180_1_82_0"
0,300,1900,-230,0,1,"180_1_85_0"
0,300,1900,-230,0,1,"185_0_85_1"
0,300,1900,-230,0,1,"185_1_16_0"
0,300,1900,-230,0,1,"185_1_4_1"
0,300,1900,-230,0,1,"185_1_71_0"
0,300,1900,-230,0,1,"185_1_85_0"
0,300,1900,-230,0,1,"19_0_19_0"
0,300,1900,-230,0,1,"19_0_19_1"
0,300,1900,-230,0,1,"19_1_120_0"
0,300,1900,-230,0,1,"19_1_13_0"
0,300,1900,-230,0,1,"19_1_180_0"
0,300,1900,-230,0,1,"19_1_19_0"
0,300,1900,-230,0,1,"19_1_19_1"
0,300,1900,-230,0,1,"19_1_199_0"
0,300,1900,-230,0,1,"19_1_20_0"
0,300,1900,-230,0,1,"19_1_25_0"
0,300,1900,-230,0,1,"19_1_28_0"
0,300,1900,-230,0,1,"19_1_3_0"
0,300,1900,-230,0,1,"19_1_417_0"
0,300,1900,-230,0,1,"19_1_428_0"
0,300,1900,-230,0,1,"19_1_73_0"
0,300,1900,-230,0,1,"19_1_75_0"
0,300,1900,-230,0,1,"19_1_81_0"
0,300,1900,-230,0,1,"19_1_85_0"
0,300,1900,-230,0,1,"192_0_192_0"
0,300,1900,-230,0,1,"192_0_428_1"
0,300,1900,-230,0,1,"192_1_132_0"
0,300,1900,-230,0,1,"192_1_47_1"
0,300,1900,-230,0,1,"199_0_98_1"
0,300,1900,-230,0,1,"199_1_123_0"
0,300,1900,-230,0,1,"199_1_25_0"
0,300,1900,-230,0,1,"199_1_83_0"
0,300,1900,-230,0,1,"20_0_20_0"
0,300,1900,-230,0,1,"20_0_20_1"
0,300,1900,-230,0,1,"20_1_123_0"
